label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
1,1682,266,399,302,DSC01886.JPG,6000,4000
2,2646,60,112,115,DSC01886.JPG,6000,4000
3,3518,556,166,136,DSC01886.JPG,6000,4000
4,3192,284,154,121,DSC01886.JPG,6000,4000
5,2347,1042,106,130,DSC01886.JPG,6000,4000
6,2486,1232,100,109,DSC01886.JPG,6000,4000
7,2332,1211,88,91,DSC01886.JPG,6000,4000
8,1854,954,323,257,DSC01886.JPG,6000,4000
9,2008,676,160,112,DSC01886.JPG,6000,4000
10,970,519,166,100,DSC01886.JPG,6000,4000
11,722,205,115,88,DSC01886.JPG,6000,4000
12,269,915,178,100,DSC01886.JPG,6000,4000
13,450,1298,139,130,DSC01886.JPG,6000,4000
14,218,1947,184,142,DSC01886.JPG,6000,4000
15,535,2086,169,115,DSC01886.JPG,6000,4000
16,2950,906,145,157,DSC01886.JPG,6000,4000
17,2709,616,178,145,DSC01886.JPG,6000,4000
18,233,1072,163,100,DSC01886.JPG,6000,4000
19,680,749,190,115,DSC01886.JPG,6000,4000
20,629,876,124,85,DSC01886.JPG,6000,4000
21,502,1111,118,82,DSC01886.JPG,6000,4000
22,1405,945,136,124,DSC01886.JPG,6000,4000
23,1242,737,208,145,DSC01886.JPG,6000,4000
24,903,960,172,151,DSC01886.JPG,6000,4000
25,740,1250,97,66,DSC01886.JPG,6000,4000
26,149,380,106,127,DSC01886.JPG,6000,4000
27,620,350,151,115,DSC01886.JPG,6000,4000
28,290,710,142,91,DSC01886.JPG,6000,4000
29,330,160,157,106,DSC01886.JPG,6000,4000
30,813,3,299,130,DSC01886.JPG,6000,4000
31,982,248,157,106,DSC01886.JPG,6000,4000
32,1236,85,187,142,DSC01886.JPG,6000,4000
33,731,1691,145,109,DSC01886.JPG,6000,4000
34,487,1778,145,121,DSC01886.JPG,6000,4000
35,2075,1495,160,88,DSC01886.JPG,6000,4000
36,1752,1319,269,109,DSC01886.JPG,6000,4000
37,499,625,133,130,DSC01886.JPG,6000,4000
38,2096,447,118,145,DSC01886.JPG,6000,4000
39,1583,60,136,124,DSC01886.JPG,6000,4000
40,2298,1618,115,88,DSC01886.JPG,6000,4000
41,3418,1691,130,109,DSC01886.JPG,6000,4000
42,976,417,175,112,DSC01886.JPG,6000,4000
43,819,344,124,124,DSC01886.JPG,6000,4000
44,2987,1178,121,136,DSC01886.JPG,6000,4000
45,2721,1099,97,79,DSC01886.JPG,6000,4000
46,2694,1208,148,85,DSC01886.JPG,6000,4000
47,2872,1316,193,133,DSC01886.JPG,6000,4000
